Stakeholder Name,Role,Stakeholder quote related to Fortescue,Translation,Sentiment
[Roger Cook](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNK-HVC1-F0J6-J00J-00000-00&context=1519360),Premier of Western Australia,"""WA is best-positioned to support a low-carbon steel project given our vast reserves of iron ore, mature and advanced iron ore industry, local technological know-how, and significant renewable energy opportunities.""",N.A.,Positive,
[Roger Cook](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CRF-1X11-JBJ7-N0SR-00000-00&context=1519360),West Australian Premier,"""WA is on its way to becoming a global clean energy powerhouse, and a major producer, user and exporter of green iron.""",N.A.,Positive,
[Rosli Wheelock](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CR0-8T11-JD3N-54MT-00000-00&context=1519360),Fortescue's General Manager First Nations,"""We have a huge amount of talent within our organisation, and it's recognised which has given the opportunities that those individuals deserve on their own merit.""",N.A.,Positive,
[Samantha Buchanan](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F52-MKG3-RVBC-G4PR-00000-00&context=1519360),Former Commercial Manager for Fortescue's Hydrogen Systems Unit,"""Also departing Fortescue this year is the former commercial manager for Fortescue's hydrogen systems unit, Samantha Buchanan, who took a promotion to become a Shell Australia vice-president in January.""",N.A.,Negative,
[Sasha Pendal](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F52-MKG3-RVBC-G4PR-00000-00&context=1519360),General Manager of Community and Government Engagement at Fortescue,"""Pendal's departure is said to be amicable, but appears part of another round of redundancies among senior managers.""",N.A.,Negative,
[Saul Kavonic](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHF-2211-JD3N-5108-00000-00&context=1519360),MST Marquee analyst,"""This signals Fortescue Future Industries has failed. Despite the overwhelming evidence it would be unviable from the get-go, Fortescue persisted with its green hydrogen ambitions, spending hundreds of millions and lambasting critics, until only now finally admitting defeat.""",N.A.,Negative,
[Sean Sequeira](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BV4-RC21-JD34-V01V-00000-00&context=1519360),Chief Investment Officer at Australian Eagle Asset Management,"""When Andrew first put Fortescue together, it all seemed quite haphazard.""",N.A.,Negative,
[Sean Williams](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-9W51-DYG0-9005-00000-00&context=1519360),Analyst at Moody's Investors Service,"""Fortescue's solid financial profile sets the company in a good position given its investment spending will likely remain elevated in the coming years.""",N.A.,Positive,
[Sean Williams](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CVP-V4H1-JD34-V01M-00000-00&context=1519360),Moody's analyst,"""This leaves Fortescue with significant capacity as the company steps up its decarbonisation efforts and capital expenditure for Fortescue Energy in fiscal 2025, while considering further green energy projects.""",N.A.,Positive,
[Shelley Robertson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJG-WTR1-JD3N-5176-00000-00&context=1519360),Chief operating officer at Fortescue,"""Grieve and Robertson have since ended up at Fortescue, as Margin Call has learned, both now occupying seats on Andrew Forrest's executive.""",N.A.,Positive,
[Shelley Robertson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F29-16B3-RSH5-H44J-00000-00&context=1519360),Fortescue's Chief Operating Officer,"""Can someone explain the org structure? We have CEOs reporting to CEOs, directors to directors, and varying titles, despite being told it would be 'flattened'.""",N.A.,Negative,
[Simon Nicholas](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D50-PW31-DY4H-K2BT-00000-00&context=1519360),Global steel sector analyst,"""It seems like the technology to enable Fortescue to reach real zero is either already available or will be soon.""",N.A.,Positive,
[Stanley Warrie](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BRJ-J7M1-JC0X-K000-00000-00&context=1519360),Yindjibarndi Aboriginal Corporation member,"""FMG has caused this split.""",N.A.,Negative,
[Steven Michael](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F0T-73D3-S129-R40H-00000-00&context=1519360),Managing Director of Red Hawk Mining,"""From a Red Hawk shareholder point of view, it's a very clear path to realising their return on their investment in a very short period of time.""",N.A.,Positive,
[Steven Michael](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F1B-6MG3-RRX5-V3C2-00000-00&context=1519360),Red Hawk chief executive,"""For them, this is an attractive bolt-on transaction. They can realise value that Red Hawk could never have realised.""",N.A.,Positive,
[Steven Miles](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BRN-Y551-JD3N-50X2-00000-00&context=1519360),Premier of Queensland,"""Queensland is now leading the nation on investment in renewable energy, and we are now seeing that translate into good manufacturing jobs in our regions.""",N.A.,Positive,
[Steven Miles](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BRP-H781-DYG0-9004-00000-00&context=1519360),Queensland Premier,"""Queensland is now leading the nation on investment in renewable energy, and we are now seeing that translate into good manufacturing jobs in our regions.""",N.A.,Positive,
[Tammy O'Connor](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DMB-MYN1-F0JP-W151-00000-00&context=1519360),Founder of KingKira Group,"""Fortescue, through their Billion Opportunities program, has been instrumental in helping us grow as a business. I'm incredibly proud of how much we have grown and can now stand on our own with these major contracts.""",N.A.,Positive,
[Tammy O'Connor](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F3S-TKR3-S03V-R4KS-00000-00&context=1519360),Founder and Managing Director of King Kira Group,"""With the support of NAB and Fortescue, we can secure more contracts, ensure sustainable growth and ultimately empower our community.""",N.A.,Positive,
[Tania Champion](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJG-WTR1-JD3N-5176-00000-00&context=1519360),Principal of approval planning at Fortescue,"""Tania Champion, MinRes's principal tenement adviser, started at Fortescue two months ago as the principal of approval planning.""",N.A.,Positive,
[Ted O'Brien](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-N411-JBN5-F00M-00000-00&context=1519360),Opposition's Spokesperson for Climate Change and Energy,"""Today's decision also points to the need for more gas. Labor says 'green hydrogen it will do everything'. Well, we now know today that the biggest investor in it is saying it's not going to do everything, and in fact he's pulling back.""",N.A.,Negative,
[Ted O'Brien](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHF-2211-JD3N-50VK-00000-00&context=1519360),Opposition Climate and Energy Spokesman,"""We remain optimistic about the success of hydrogen in the long term playing a role in our future energy mix but we will not follow Labor's mistake of putting all its eggs in one basket.""",N.A.,Neutral,
[Tim Day](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DPG-BVC3-RTNT-94B7-00000-00&context=1519360),BHP WA iron ore asset president,"""You have to start this with something. For us, a gas supply is required. You need that energy initially and then what will happen over time is we'll get to more green energy.""",N.A.,Negative,
[Tim Treadgold](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH2-NX91-JBN5-F00W-00000-00&context=1519360),Resources Analyst,"""China is a big problem for Fortescue, it's a big problem for Australia and hydrogen is a peculiar problem for Fortescue because the world is just not ready for it yet.""",N.A.,Negative,
[Tina Jowett SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F6K-B9N3-RWP6-M48F-00000-00&context=1519360),Lawyer for Yindjibarndi applicants,"“This has made very strong emotions and created much, effectively, bereavement in the community, because it was so, so important.”",N.A.,Negative,
[Tristan Calder](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CGN-Y501-DY19-C1P4-00000-00&context=1519360),Fortescue worker,"""It's possibly the best thing I've ever done.""",N.A.,Positive,
[Twiggy Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CS8-3TS1-JD3N-511V-00000-00&context=1519360),Chairman and co-biggest shareholder of Fortescue,"""Forrest has shown zero interest in diversifying away from the total reliance on iron ore and on a never-ending China growth story.""",N.A.,Negative,
[Vance Hughston](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BTM-W481-JC0X-K02C-00000-00&context=1519360),Yindjibarndi barrister,"""What the claim group could fairly and justly have demanded for their assent to the infringement (mining), that's the economic component.""",N.A.,Negative,
[Vance Hughston](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F4W-W0B3-S0K3-K2R3-00000-00&context=1519360),Barrister for Yindjibarndi,"""The only party missing out in all of this is the Yindjibarndi people.""",N.A.,Negative,
[Warren Fish](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DMB-MYN1-F0JP-W151-00000-00&context=1519360),"Director of approvals, communities, and environment at Fortescue","""We've always been committed to initiatives that foster genuine economic and employment opportunities for First Nations Australians.""",N.A.,Positive,
[Wayne McFaull](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNR-RD11-JBYR-J003-00000-00&context=1519360),Mining and engineering consultant,"""Projects in the nature and complexity of the Fortescue project and the Element Zero project take a great deal of trial and error.""",N.A.,Neutral,
[Zali Steggall](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DC0-PTB1-F0J6-J3VR-00000-00&context=1519360),Teal independent member for Warringah,"""Miners should not receive them at all, regardless of whether they were tied to decarbonisation efforts.""",N.A.,Negative,
[Zara Fisher](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CGN-Y501-DY19-C1P4-00000-00&context=1519360),Fortescue head of healthy safety and risk,"""Things like that have nothing to do with the person's productivity or capacity, but more about how they present themselves.""",N.A.,Neutral,
